Date,Product Name,City,Quantity Sold,Product Price,Revenue,Day of Week,Month,Season
2018-01-01,Warfarin,Tirunelveli,84,93.36,7841.9,0,1,Winter
2018-01-01,Methotrexate,Tirunelveli,139,96.57,13423.77,0,1,Winter
2018-01-01,Methadone,Chennai,82,159.58,13085.36,0,1,Winter
2018-01-01,Amoxicillin,Salem,108,43.31,4677.67,0,1,Winter
2018-01-01,Vitamins,Chennai,82,21.4,1754.96,0,1,Winter
2018-01-02,Vitamins,Salem,113,21.79,2462.2,1,1,Winter
2018-01-02,Probiotics,Kanchipuram,95,37.96,3606.09,1,1,Winter
2018-01-02,Gabapentin,Tirunelveli,119,65.42,7785.02,1,1,Winter
2018-01-02,Quetiapine,Erode,130,139.5,18135.22,1,1,Winter
2018-01-02,Fluoxetine,Erode,81,238.67,19332.02,1,1,Winter
2018-01-03,Diazepam,Chennai,75,65.56,4916.81,2,1,Winter
2018-01-03,Gabapentin,Tiruchirappalli,133,65.95,8771.06,2,1,Winter
2018-01-03,Omeprazole,Madurai,127,47.36,6014.63,2,1,Winter
2018-01-03,Clopidogrel,Kanchipuram,111,75.94,8429.5,2,1,Winter
2018-01-03,Vitamins,Tirunelveli,111,21.87,2427.42,2,1,Winter
2018-01-04,Buprenorphine,Thanjavur,131,171.13,22417.65,3,1,Winter
2018-01-04,Codeine,Kanchipuram,116,53.99,6262.41,3,1,Winter
2018-01-04,Aspirin,Erode,128,27.04,3460.51,3,1,Winter
2018-01-04,Omeprazole,Madurai,133,48.86,6498.58,3,1,Winter
2018-01-04,Oxycodone,Kanchipuram,138,80.44,11100.12,3,1,Winter
2018-01-05,Azithromycin,Thanjavur,132,54.55,7200.63,4,1,Winter
2018-01-05,Aspirin,Vellore,73,26.49,1933.74,4,1,Winter
2018-01-05,Clonazepam,Vellore,137,53.35,7309.25,4,1,Winter
2018-01-05,Diphenhydramine,Tirunelveli,101,32.46,3278.5,4,1,Winter
2018-01-05,Aspirin,Madurai,142,26.97,3829.26,4,1,Winter
2018-01-06,Duloxetine,Salem,117,191.38,22391.32,5,1,Winter
2018-01-06,Clonazepam,Tirunelveli,141,54.76,7721.78,5,1,Winter
2018-01-06,Ezetimibe,Chennai,150,86.1,12914.55,5,1,Winter
2018-01-06,Furosemide,Coimbatore,92,27.45,2525.37,5,1,Winter
2018-01-06,Losartan,Vellore,104,59.93,6232.24,5,1,Winter
2018-01-07,Metformin,Madurai,77,37.08,2854.84,6,1,Winter
2018-01-07,Paracetamol,Tiruchirappalli,98,21.37,2094.7,6,1,Winter
2018-01-07,Clopidogrel,Salem,87,75.74,6589.42,6,1,Winter
2018-01-07,Antacids,Tiruchirappalli,138,16.18,2232.71,6,1,Winter
2018-01-07,Methocarbamol,Erode,120,49.13,5896.11,6,1,Winter
2018-01-08,Methocarbamol,Tiruchirappalli,128,48.84,6251.47,0,1,Winter
2018-01-08,Fluoxetine,Thanjavur,117,234.83,27474.89,0,1,Winter
2018-01-08,Warfarin,Vellore,148,92.49,13689.11,0,1,Winter
2018-01-08,Bupropion,Tirunelveli,94,256.78,24137.41,0,1,Winter
2018-01-08,Clopidogrel,Tiruchirappalli,87,76.84,6685.11,0,1,Winter
2018-01-09,Simvastatin,Salem,72,64.85,4669.15,1,1,Winter
2018-01-09,Glibenclamide,Coimbatore,101,49.32,4981.71,1,1,Winter
2018-01-09,Furosemide,Chennai,76,26.99,2051.49,1,1,Winter
2018-01-09,Probiotics,Kanchipuram,134,37.24,4989.73,1,1,Winter
2018-01-09,Antacids,Chennai,142,16.29,2313.88,1,1,Winter
2018-01-10,Simvastatin,Vellore,112,64.04,7172.1,2,1,Winter
2018-01-10,Ranitidine,Coimbatore,128,26.68,3414.65,2,1,Winter
2018-01-10,Risperidone,Salem,136,130.89,17800.75,2,1,Winter
2018-01-10,Cetirizine,Vellore,144,16.36,2355.22,2,1,Winter
2018-01-10,Carisoprodol,Tiruchirappalli,120,58.65,7038.05,2,1,Winter
2018-01-11,Gabapentin,Tiruchirappalli,128,63.55,8134.08,3,1,Winter
2018-01-11,Nifedipine,Coimbatore,111,52.88,5870.03,3,1,Winter
2018-01-11,Propylthiouracil,Salem,101,93.15,9408.25,3,1,Winter
2018-01-11,Paracetamol,Madurai,80,21.14,1690.82,3,1,Winter
2018-01-11,Topiramate,Chennai,82,120.06,9845.07,3,1,Winter
2018-01-12,Metoprolol,Vellore,80,43.8,3503.97,4,1,Winter
2018-01-12,Fluoxetine,Chennai,148,240.36,35572.59,4,1,Winter
2018-01-12,Sildenafil,Salem,93,78.91,7338.46,4,1,Winter
2018-01-12,Prednisolone,Kanchipuram,144,95.87,13805.56,4,1,Winter
2018-01-12,Antacids,Vellore,94,16.05,1508.56,4,1,Winter
2018-01-13,Clarithromycin,Thanjavur,81,60.0,4860.26,5,1,Winter
2018-01-13,Oxycodone,Tirunelveli,117,82.04,9598.72,5,1,Winter
2018-01-13,Lorazepam,Tiruchirappalli,103,76.18,7846.18,5,1,Winter
2018-01-13,Warfarin,Tiruchirappalli,120,92.7,11124.33,5,1,Winter
2018-01-13,Oxycodone,Vellore,76,81.69,6208.52,5,1,Winter
2018-01-14,Clarithromycin,Vellore,97,59.07,5730.04,6,1,Winter
2018-01-14,Sodium Valproate,Erode,109,103.85,11319.42,6,1,Winter
2018-01-14,Azithromycin,Erode,107,53.81,5757.69,6,1,Winter
2018-01-14,Bupropion,Salem,123,263.61,32423.43,6,1,Winter
2018-01-14,Methadone,Thanjavur,104,157.93,16424.68,6,1,Winter
